stem,style,lpips,ssim,histogram_distance
thanh1+𡄡,thanh1,0.09740080684423447,0.5017031862274738,0.16821257401255227
thanh1+󱟲,thanh1,0.0916680172085762,0.5930990995204997,0.13087044211019375
thanh1+𥴙,thanh1,0.08675190061330795,0.6610160138054391,0.4051393280544047
thanh1+󰅬,thanh1,0.10909157246351242,0.7065565235637937,0.24549598454641708
thanh1+󰬥,thanh1,0.13012650609016418,0.6083991610666368,0.17409916362456948
thanh1+𬠥,thanh1,0.07410655170679092,0.639800015313054,0.11415122375186827
thanh1+󱚕,thanh1,0.0755920484662056,0.6379064042318179,0.125765349664966
thanh1+󱤗,thanh1,0.08984296023845673,0.5994304567887315,0.225452016272612
thanh1+󱀄,thanh1,0.12713506817817688,0.6118177066962935,0.21309348643374823
thanh1+𬉌,thanh1,0.10668358206748962,0.6722539363620579,0.12165641004063112
thanh1+𤁯,thanh1,0.1188848614692688,0.62307349146493,0.2293797590456094
thanh1+󰮡,thanh1,0.1149267703294754,0.6006655348901382,0.15001270091144742
thanh1+󱯗,thanh1,0.10188919305801392,0.676768294858696,0.1042686700866365
thanh1+𤼞,thanh1,0.11696292459964752,0.5535211109559413,0.3374334421082612
thanh1+𪰰,thanh1,0.11853891611099243,0.6720369250092348,0.09141000570657505
thanh1+󱠑,thanh1,0.07569247484207153,0.7202163459640128,0.1455106829066841
thanh1+𤶹,thanh1,0.06865235418081284,0.6944785841237263,0.160885026675364
thanh1+𡅉,thanh1,0.09507809579372406,0.6998536158647112,0.21353772018012762
thanh1+𫣝,thanh1,0.09628415107727051,0.6330774693794001,0.5089902139763366
thanh1+󱠠,thanh1,0.12512817978858948,0.32268537209302645,0.16314193061524837
thanh1+󱜖,thanh1,0.1075400784611702,0.7474145069412163,0.09489685622122086
thanh1+󱦾,thanh1,0.09560676664113998,0.7000105818405999,0.14544924971839227
thanh1+𤲼,thanh1,0.0923207551240921,0.6646409741452308,0.17076811590933236
thanh1+󰇵,thanh1,0.08057844638824463,0.6605604057712313,0.1240717363409707
thanh1+𤣡,thanh1,0.12079082429409027,0.6402435630531967,0.2721257605210217
