stem,style,lpips,ssim,histogram_distance
thanh1+󱝑,thanh1,0.07581920921802521,0.7479430954883479,0.07860870624722267
thanh1+𠶒,thanh1,0.11329872906208038,0.7796662114035224,0.10383440924862793
thanh1+󱝷,thanh1,0.10664236545562744,0.6375301880403972,0.1857958396248949
thanh1+󱛕,thanh1,0.06397907435894012,0.7688944506775801,0.11757836754013451
thanh1+𠷦,thanh1,0.07737510651350021,0.6707808545781584,0.09167404741566652
thanh1+󱦗,thanh1,0.12232985347509384,0.5697708379642626,0.18712735251785997
thanh1+𫧾,thanh1,0.10603868961334229,0.5571276365995463,0.118461957302653
thanh1+󱜲,thanh1,0.05630161985754967,0.7867181249182399,0.07811495378111843
thanh1+𢲠,thanh1,0.07977060973644257,0.7045858716066432,0.12795914079150048
thanh1+󱳒,thanh1,0.08389481902122498,0.6347062844058153,0.1476430237618469
thanh1+𪡈,thanh1,0.0646338015794754,0.8120953201874209,0.08543641709256207
thanh1+𬄹,thanh1,0.06934894621372223,0.7714919737835687,0.1221472190411496
thanh1+󱯠,thanh1,0.08483125269412994,0.6390682298920459,0.1517943179310627
thanh1+󱞟,thanh1,0.09299986064434052,0.556853091901688,0.14412855925740498
thanh1+𪤲,thanh1,0.071877621114254,0.6895410830048836,0.09190479168794984
thanh1+𬞰,thanh1,0.08986970782279968,0.6062648939874241,0.16616945716584286
thanh1+󱋠,thanh1,0.11812299489974976,0.5004262457285396,0.16491602636203026
thanh1+𬂨,thanh1,0.07037930935621262,0.7932508626226763,0.11122808039972666
thanh1+󱟱,thanh1,0.0926181972026825,0.7553192893985967,0.06083876410309421
thanh1+𢲾,thanh1,0.17167308926582336,0.5362268360210849,36.95252817519705
thanh1+󱰶,thanh1,0.09787507355213165,0.6487870436561014,0.1828294133117392
thanh1+󰮦,thanh1,0.10984544456005096,0.6454017836700647,0.20221136438606366
thanh1+𰈨,thanh1,0.07134608924388885,0.7559803020048556,0.1455365075740456
thanh1+𪖺,thanh1,0.11381693929433823,0.6257317711967073,0.33189449030360824
thanh1+󱝗,thanh1,0.10693684220314026,0.587216002481805,0.20183753618921318
thanh1+󰨑,thanh1,0.0773950070142746,0.7363747005939205,0.11767369095553908
thanh1+󰣡,thanh1,0.08551283925771713,0.7181177018940474,0.30145761220517503
thanh1+𠹰,thanh1,0.09348661452531815,0.5245004613100474,0.1890958866115988
thanh1+𫵞,thanh1,0.07931835949420929,0.7607063491866015,0.09286159579794284
thanh1+󱧨,thanh1,0.09789085388183594,0.6373200920317849,0.23199416019962013
thanh1+𪶩,thanh1,0.09121514856815338,0.7080580845944502,0.13071904957400318
thanh1+𡫐,thanh1,0.09636832028627396,0.6292756816694699,0.22264126652614924
thanh1+󱡴,thanh1,0.11360584199428558,0.5980117674983847,0.11002414335167997
thanh1+𡀲,thanh1,0.061673734337091446,0.7936276858153468,0.10057265013565127
thanh1+𦘱,thanh1,0.0658813938498497,0.8115682560183443,0.09402655603335146
thanh1+󱭘,thanh1,0.08944201469421387,0.6478570642401204,0.11558619309985983
thanh1+󱞀,thanh1,0.10317489504814148,0.5638600159330559,0.2661584321874492
thanh1+𪢠,thanh1,0.08113773167133331,0.6730803022130475,0.10268820968329317
thanh1+󰭠,thanh1,0.12031587958335876,0.541419793870127,0.20350257413019388
thanh1+󱛦,thanh1,0.07119334489107132,0.746310748974463,0.09495506008741623
thanh1+𪢒,thanh1,0.07322973757982254,0.6791239254071806,0.10806871243101857
thanh1+󱞄,thanh1,0.07890114188194275,0.6952103674257332,0.11663585368517337
thanh1+󱫟,thanh1,0.09988592565059662,0.6485543098131487,0.13536183352791087
thanh1+𩽈,thanh1,0.06010683625936508,0.6951939646177494,0.12720002478504708
thanh1+󱀰,thanh1,0.07617727667093277,0.7146375877869307,0.12451903413361043
thanh1+󱜴,thanh1,0.07303781807422638,0.8191990149876022,0.07638828104541645
thanh1+𠀿,thanh1,0.10773497819900513,0.5422649929316278,0.08026044655628417
thanh1+𣞄,thanh1,0.0926981195807457,0.7002717079062861,0.11842502504810049
thanh1+𪥘,thanh1,0.06675461679697037,0.6680363303416968,0.08161521158840916
thanh1+𭉷,thanh1,0.09249304980039597,0.6791627532682083,2.340019333958663
thanh1+𫔬,thanh1,0.07968532294034958,0.7430231713993246,0.14469333673696758
thanh1+𫴬,thanh1,0.0812816470861435,0.7029526179284568,0.08940645134221965
thanh1+󱥻,thanh1,0.07326575368642807,0.6315004809849278,0.11387571196869335
thanh1+󱟏,thanh1,0.12719863653182983,0.6462668705091966,3.0424699073780537
thanh1+𤬪,thanh1,0.06882242858409882,0.769355667910182,0.08126067243375487
thanh1+𬃴,thanh1,0.08417835831642151,0.6390582597083075,0.12232539878537614
thanh1+󱙴,thanh1,0.10264788568019867,0.7094572760475323,0.15113492789264787
thanh1+𤎓,thanh1,0.08086012303829193,0.6770885457336034,0.14456957677360446
thanh1+𪢡,thanh1,0.09077845513820648,0.6822897378898355,0.09825702906100187
thanh1+󱘡,thanh1,0.07088091224431992,0.7192159803013896,0.08469088480627353
thanh1+󱲝,thanh1,0.07467212527990341,0.7274355906705479,0.08457457231475927
thanh1+𬏻,thanh1,0.07068565487861633,0.6775921012674404,0.09945214848277861
thanh1+𫢖,thanh1,0.0985640212893486,0.5897366938611828,0.11153504349610029
thanh1+𫢧,thanh1,0.0798816978931427,0.7510004335425451,0.09129662313863436
thanh1+㖪,thanh1,0.04429899528622627,0.7792367138840998,0.09435280173217275
thanh1+𪾭,thanh1,0.09043470025062561,0.5604344263482123,0.09899988068265157
thanh1+𠼳,thanh1,0.07566293329000473,0.6946956415232045,0.6113506095534023
thanh1+𦞎,thanh1,0.06489104777574539,0.7879055089617806,0.09660395558886219
thanh1+󱟕,thanh1,0.061214156448841095,0.7339468433505079,0.12083751297398497
thanh1+𠾺,thanh1,0.0837860107421875,0.7474314018575179,0.12410625596561387
thanh1+󱞡,thanh1,0.0887196883559227,0.6103622933176933,0.1760810232222307
thanh1+𡄳,thanh1,0.07367632538080215,0.6442391904786038,0.12615357369845695
thanh1+𫫴,thanh1,0.06162359565496445,0.6543322215055519,0.10620911106862763
thanh1+󱘓,thanh1,0.14489996433258057,0.4990347026666821,0.1218200638324158
thanh1+󰜡,thanh1,0.06817455589771271,0.7768167063417094,0.08703613425181182
thanh1+󱍺,thanh1,0.10259944945573807,0.6103974038901687,0.07727631906880718
thanh1+𤋽,thanh1,0.059663861989974976,0.6919415845178165,0.08291514954400235
thanh1+󰴾,thanh1,0.07918766885995865,0.5784443222576873,0.11974982534116953
thanh1+󱢰,thanh1,0.07649838179349899,0.7528187957009468,0.13149284463909758
thanh1+𣋇,thanh1,0.08897075057029724,0.588290970684059,0.11801414187533181
thanh1+󰢔,thanh1,0.09853892773389816,0.6657960541369786,41.046204388760934
thanh1+㼫,thanh1,0.06491585075855255,0.7736939336490187,0.1249635329062088
thanh1+𪝪,thanh1,0.07864554226398468,0.672289160614322,0.14839632885863205
thanh1+𢰦,thanh1,0.0737779289484024,0.7498930648180078,0.10028779509729031
thanh1+󱢥,thanh1,0.09480072557926178,0.5533250038243588,0.2808558564942824
thanh1+𬈈,thanh1,0.1028817892074585,0.6156623962759334,0.16489055418459084
thanh1+󱗳,thanh1,0.08909229934215546,0.6970923004419564,0.10514851827601762
thanh1+󱼒,thanh1,0.08915597945451736,0.7004636860733998,0.17755493643281758
thanh1+𡏠,thanh1,0.06330244243144989,0.7400340980503901,0.14618774082210895
thanh1+󱟂,thanh1,0.11736059188842773,0.4350689864768248,63.85208688090472
thanh1+𭈖,thanh1,0.07215888798236847,0.7597548918439156,0.1404441004596969
thanh1+䐥,thanh1,0.0638393685221672,0.7551885621699722,0.12829345929914468
thanh1+𬓓,thanh1,0.09019589424133301,0.5375636785042087,0.20991738196274343
thanh1+󱞇,thanh1,0.0969996526837349,0.6602734418522686,0.20784198456840905
thanh1+𥙒,thanh1,0.10116696357727051,0.6850758616235739,0.13008254186402157
thanh1+𣛦,thanh1,0.08005335927009583,0.6890131959470639,0.1324514252330768
thanh1+𡚄,thanh1,0.07353703677654266,0.7553700608115796,0.12043695679343673
thanh1+𭰺,thanh1,0.08386071026325226,0.667881512946413,0.08601534231672493
thanh1+𡄫,thanh1,0.07083447277545929,0.7131789121004227,0.18075391705166485
thanh1+濧,thanh1,0.0991065576672554,0.6762665929816858,0.09005281792963554
thanh1+󱤈,thanh1,0.07928624749183655,0.766948645817281,0.1073728530130277
thanh1+󱬑,thanh1,0.08511490374803543,0.6913056381118962,0.20071350999535842
thanh1+󱰮,thanh1,0.06929529458284378,0.7176138614138099,0.11953229717456038
thanh1+𠶍,thanh1,0.06494909524917603,0.764471738375511,0.06974951642244784
thanh1+𨨨,thanh1,0.08175139129161835,0.6960088379636591,0.13115087857097008
thanh1+𡄡,thanh1,0.11605791747570038,0.46700478235083775,0.13656144507717047
thanh1+󱟲,thanh1,0.07318508625030518,0.7474482513127855,0.13790734972743882
thanh1+𥴙,thanh1,0.09182953834533691,0.6556167943923573,0.12002462267391996
thanh1+󰅬,thanh1,0.1149337887763977,0.5713159295149633,0.1428653322649922
thanh1+󰬥,thanh1,0.1151985451579094,0.6475970782953833,0.1716472794659578
thanh1+𬠥,thanh1,0.08843735605478287,0.5465729023418014,0.35674543090816696
thanh1+󱚕,thanh1,0.0742184966802597,0.7323782243839221,0.06945747517854156
thanh1+󱤗,thanh1,0.0883486345410347,0.7011421059582862,0.11009126429297549
thanh1+󱀄,thanh1,0.11106603592634201,0.6739273734321933,0.1638085324642852
thanh1+𬉌,thanh1,0.08617488294839859,0.6952841899844444,0.1063957667624017
thanh1+𤁯,thanh1,0.10138343274593353,0.6074113777139731,0.15723058299097564
thanh1+󰮡,thanh1,0.11731960624456406,0.38414698862629965,0.1205495733933623
thanh1+󱯗,thanh1,0.07390392571687698,0.7587161787935657,0.12910437799463312
thanh1+𤼞,thanh1,0.09511201083660126,0.46625382435540247,0.14974145210446332
